#PACS PointSourceLoss. Version: 4
#Wavelength	Fraction_in1	Fraction_Cto3x3	Fraction_in3x3	Fraction_in5x5
144.0 0.548453 0.659572 0.831529 0.937100176812
145.0 0.545444 0.657 0.830204 0.93693304569
146.0 0.542431 0.654407 0.82889 0.93677
147.0 0.539413 0.651792 0.827585 0.936617199435
148.0 0.536389 0.649156 0.826287 0.936475868994
149.0 0.533358 0.646498 0.824995 0.936346
150.0 0.530319 0.64382 0.823707 0.936228173595
151.0 0.527274 0.64112 0.822426 0.936125330187
152.0 0.524224 0.6384 0.821152 0.936041
153.0 0.521169 0.63566 0.819887 0.935977365443
154.0 0.518111 0.632899 0.818632 0.935931217665
155.0 0.515051 0.630117 0.817389 0.935898
156.0 0.511992 0.627316 0.816163 0.935876105374
157.0 0.508934 0.624495 0.814953 0.935875725079
158.0 0.50588 0.621654 0.813765 0.93591
159.0 0.50283 0.618793 0.812598 0.935987842691
160.0 0.499786 0.615913 0.811455 0.936101252388
161.0 0.496749 0.613014 0.810339 0.936238
162.0 0.49372 0.610096 0.80925 0.936388412752
163.0 0.490698 0.607159 0.808187 0.936553043145
164.0 0.487685 0.604203 0.807154 0.936735
165.0 0.484681 0.601229 0.806151 0.936934210006
166.0 0.481685 0.598236 0.805175 0.937137871327
167.0 0.478699 0.595226 0.804231 0.93733
168.0 0.475721 0.592197 0.803316 0.937499525981
169.0 0.472751 0.58915 0.802429 0.937655034924
170.0 0.469789 0.586086 0.80157 0.937810026405
171.0 0.466834 0.583004 0.800739 0.937978
172.0 0.463887 0.579905 0.799937 0.938166129017
173.0 0.460947 0.576788 0.799161 0.938356281694
174.0 0.458013 0.573655 0.798412 0.938524
175.0 0.455086 0.570505 0.79769 0.938650960765
176.0 0.452164 0.567338 0.796992 0.938743380263
177.0 0.449249 0.564154 0.796323 0.938813609629
178.0 0.44634 0.560955 0.795679 0.938874
179.0 0.443436 0.557739 0.79506 0.938933434047
180.0 0.440539 0.554507 0.79447 0.938986920594
181.0 0.437648 0.551259 0.793906 0.939026
182.0 0.434763 0.547996 0.793369 0.939041664916
183.0 0.431884 0.544717 0.792859 0.939022717153
184.0 0.429013 0.541423 0.79238 0.938957410814
185.0 0.426149 0.538114 0.791931 0.938834
186.0 0.423293 0.53479 0.791513 0.93864763949
187.0 0.420445 0.531451 0.791127 0.938421086769
188.0 0.417607 0.528097 0.790777 0.938184
189.0 0.414777 0.524729 0.790459 0.937958826788
190.0 0.411958 0.521347 0.79018 0.937739172506
191.0 0.40915 0.51795 0.789941 0.937511431971
192.0 0.406352 0.51454 0.789739 0.937262
193.0 0.403566 0.511116 0.789579 0.936979767438
194.0 0.400793 0.507678 0.789463 0.936663609253
195.0 0.398032 0.504226 0.789391 0.936314896442
196.0 0.395284 0.500762 0.789365 0.935935
197.0 0.39255 0.497284 0.789388 0.935525494084
198.0 0.389829 0.493794 0.789457 0.935088765481
199.0 0.387123 0.49029 0.789579 0.934627404137
200.0 0.384431 0.486774 0.789752 0.934144
201.0 0.381753 0.483246 0.789977 0.933640662477
202.0 0.37909 0.479705 0.790256 0.933117578824
203.0 0.376441 0.476152 0.790589 0.932574455759
204.0 0.373806 0.472588 0.790977 0.932011
205.0 0.371186 0.469011 0.791422 0.931426512258
206.0 0.368579 0.465423 0.791922 0.930818669222
207.0 0.365986 0.461824 0.79248 0.930184741575
208.0 0.363407 0.458213 0.793096 0.929522
209.0 0.36084 0.454591 0.793768 0.928826897866
210.0 0.358285 0.450959 0.794496 0.928092619288
211.0 0.355743 0.447315 0.795284 0.927311531065
212.0 0.353211 0.443662 0.796127 0.926476
213.0 0.35069 0.439997 0.797028 0.925585958778
214.0 0.348179 0.436323 0.797985 0.924671603628
215.0 0.345678 0.432638 0.799 0.923770696664
216.0 0.343185 0.428944 0.80007 0.922921
217.0 0.340699 0.425239 0.801193 0.92214591299
218.0 0.338221 0.421526 0.802373 0.921411383939
219.0 0.33575 0.417803 0.803609 0.920668998394
220.0 0.333284 0.41407 0.804897 0.919870341899
